gene	type	intercept	T2	acrAB	bamE	dapA	hdeA	letA	lolB	lptD	marR	mdtA	micA	mraZ	pspA	rcsA	rpoE	tolC	waaQ	ydiF	ygiM
""	controls	-0.390415295582876	-0.146177995017505	-0.303026158918456	-0.0185219060129403	-0.320237440685303	-0.613533868855789	0.0904346715673687	-0.145165983593483	-0.24122519045459	-0.157557611492757	-4.2018750398131	-0.274582483330969	-0.12684550664113	-0.459983460601927	-0.0738380256675809	-0.598400879449152	-0.507023149596099	-0.147462416135366	-6.46428296610118	-0.267279393524709
aaeA	perfect	0.331842734721931	-0.387985752460025	-0.524159969362787	-0.942224305020311	-1.35709625217883	0.560171123688046	-0.917773194737802	-0.0510550246488765	-0.962701467469718	-0.857485274708934	-4.09993708773541	-0.168442474203294	-0.890386396707608	-0.897647868949855	-0.91785989869608	-1.87751449748776	-1.15661857024533	-0.968136941926644	-5.66120522726837	-1.08891464928029
aaeB	perfect	0.534822111152475	-0.364618184765849	-0.776145488095499	-1.15292337931099	-1.34331557976573	-1.51140599397365	-1.28388488015253	-0.651047385163863	-1.34660677779796	-1.11008290431619	-6.51644317798742	-1.1838467182622	-1.28071250512292	-1.38265661597178	-0.331463125992245	-0.299958077207629	-1.37691553779993	-0.761188432152263	-9.55876904266582	-1.25406283562118
aaeR	perfect	-0.263131493013871	0.157101650679111	0.37326888867018	-0.616566175207367	-0.651177792581398	-0.548903277270311	-0.766030221387643	-0.624038554364125	-0.109895030117717	-0.381481932677277	-3.58100650461838	-0.470914243428051	-0.323388742860876	-0.731748806765538	-0.473001447803863	0.109292360554769	-1.08828635142479	-0.141620965062675	-4.21561824737073	-0.417734703988558
aaeX	perfect	-0.786517045634542	-0.0675024395983356	0.445495724923194	0.0976544507651385	0.351959864327764	0.860475323192197	0.615177746550485	-0.0926480108113145	0.599429682936087	-0.0664715584872941	-4.30766031805108	-0.496390355122304	-0.0463289505708507	-1.04115421513555	1.11252758026374	-0.639008651196947	-0.544688670614571	-0.0221063017799743	-7.83504939830977	0.766440993038004
aas	perfect	-1.07445163733274	0.295431640352875	-0.0444911080654206	0.261391272008586	-0.230526781743568	-0.035807490818765	0.20585002165033	0.845309379476756	0.173014370633553	0.646811293118043	-1.93794923002557	0.15584609089006	0.468327503854146	-0.318920765201548	0.93672825915091	1.856267060675	0.00346061647621465	0.909339203601431	-3.48729521030153	0.129780864375199
aat	perfect	-0.0718429538154109	-0.0979186159500213	-0.478638714046815	-0.721221422691048	-0.651450303745667	0.335923095123342	-0.576424133829218	-0.474579338270546	0.101255769178291	-0.189482582876914	-3.76106719311214	-1.07388456948459	-0.961817929089181	-0.144050190609563	-0.841892488037935	-1.50851225872314	-1.16504688820242	-0.79028649783449	-7.06269500807268	-0.49933360085377
abgA	perfect	-0.21547338616984	-0.240423100227463	-0.717263458894384	-0.478791169171247	-0.880202942241791	-1.56348403042531	-0.569606684195954	0.263209672133499	0.555685279036249	-0.298301937764547	-3.37102813386961	0.318129212325831	-0.696706491753123	-0.539153939595583	-0.162124726111209	-1.16264783239004	-0.904224867943722	0.158529272150186	-6.58434691018618	-0.680861508001
abgB	perfect	-0.786658873235034	0.0284939131468872	-0.263318022804197	-0.0490498050050949	-0.124246721489164	-0.188725636602459	-0.395469293036165	-0.0952390465583923	-0.105155123954321	0.0909650171859348	-4.9641303401195	0.0296989688265311	0.0446123743525519	0.158818841376201	1.25001813571835	-0.786140274833856	-0.129108250231064	1.47652391488833	-7.79306601761931	0.0648600253747588
abgR	perfect	-0.801287192134785	-0.331187096959586	-0.0157579452214366	0.0367619905624429	-0.0291628617488874	-2.94552242772093	-0.312463209291623	-0.0657292201100136	0.251886230935383	-0.117628389921148	-3.49971819790479	-0.111272196307012	-0.299040535247228	0.354049559381275	0.242132394558008	-0.236828881842154	0.41767202297171	-0.0173518693333537	-5.2786365266311	0.570567168518379
