gene	type	intercept	T2	acrAB	bamE	dapA	hdeA	letA	lolB	lptD	marR	mdtA	micA	mraZ	pspA	rcsA	rpoE	tolC	waaQ	ydiF	ygiM
abpA	perfect	0.120743361959349	0.513146979058093	1	0.949941650658844	0.641603973042407	1.48458717026181e-05	1	0.999993730882233	0.985331132635153	0.0307436749775027	1.36623282471708e-11	0.991668473489477	0.224545423458513	0.998277848433795	0.990583014399198	0.217315282000732	0.962524397221909	0.413739260388314	1.06618217241283e-10	0.618185338170137
abpB	perfect	0.0383395680428514	0.149030768966672	2.02986442373125e-06	1	0.853551121499547	0.647601413976044	1.69322942431528e-17	1	1	0.223618762266471	7.4916904010997e-35	0.892712606870038	0.991388623886414	0.913667741288248	0.91184665680383	0.636918910360592	0.681744247606791	0.990075943939707	1.18578892137727e-87	0.0917489847782376
abrB	perfect	0.288377249913497	0.0121729996052156	0.869110837595842	0.994863583756008	0.0062658254021793	0.604586602451943	0.000901678682522559	0.930327626292158	0.891668045513197	0.821362970286122	7.5977681033378e-39	0.884193356586051	0.838745396263434	0.735188409719103	0.0982871552725096	0.557000639819147	0.764168381476045	0.995348398889699	1.32121925870687e-15	0.935194757940374
accA	mismatch	1.90338666476168e-05	0.540900332869392	0.00114898869623985	0.00310821598236359	0.93657415748198	7.95386963422487e-17	3.8210700896333e-06	0.023911933476994	0.0985335707458275	0.000648561328465889	2.75387096093493e-29	0.00360644451041742	0.944338579842751	1.80017913864469e-13	0.229778981904974	0.000129751427188569	2.57044056243125e-12	0.000112472427019181	1.57374743353882e-62	1.6083349656878e-05
accA	perfect_essential	0.60157017175111	0.709114704973261	1	1	0.0330898089588256	1	1	1	1	1	1	0.000773037308076045	1	1	1	0.999999952199866	0.405226927929645	1	1	1
accB	mismatch	2.68096998664385e-14	4.60031307348442e-08	1.35109597599588e-22	2.97614673961498e-22	2.51485360903054e-28	4.02748783211056e-11	6.25892922947748e-20	2.7744971943102e-17	1	3.35207938206966e-10	1.64266593757963e-64	1.71332595715632e-08	3.81262706642845e-16	9.67710336240791e-34	5.78232088506075e-20	3.17785124957836e-22	1.93601283810521e-18	6.96428703393566e-14	4.66880361383697e-38	4.79101288183103e-23
accB	perfect_essential	0.806557709153744	0.0541496517442755	1	1	1	0.000635313867092191	0.132676957720094	1	1	1	1	1	1	1	1	1	1	1	4.27751525432745e-05	5.92180212819542e-15
accC	mismatch	4.05719194136076e-14	9.18447477723909e-16	0.650768066061155	0.000661153100052343	0.281225198276177	9.40369710283369e-07	3.02741146318727e-09	0.701924062129083	0.0200113217698753	0.0189054657517783	0.000196634375278651	0.053270056830348	0.00189129799914462	0.235943589458845	0.110834790209767	9.06698343679423e-10	0.100306197047194	0.339910593730269	0.351668298304127	8.04562233772737e-05
accC	perfect_essential	0.815085594246294	0.640873880381125	1	1	0.431507334370376	1	9.57339379205893e-05	1	1	1	0.160764894704083	1	1	1	1	0.99999999988408	0.408043165866787	1	1	1
accD	mismatch	4.38930698146704e-08	5.26408626300142e-11	0.00132560295143678	0.189892713729707	0.767906508189451	1.41220178455385e-34	6.14081766787628e-05	0.950002661998797	0.528172036485875	0.187677093516394	6.96078444958114e-41	1.15168485606642e-06	9.6716271541539e-21	3.74432712381349e-17	1.69953114971851e-21	0.00182085604723236	0.976561396789204	0.879992180019926	4.43523498753717e-84	4.69157158080602e-08
accD	perfect_essential	0.00015859810938121	0.0131298450442139	0.0728489870110636	0.0255743473213271	0.0653429691842	0.0835158150119835	0.0703919260731509	0.27313105189268	0.909208904055454	0.0784312634069434	0.00905297338074567	0.0579038239493018	0.0272800992641658	0.0377536443832431	0.245847735002164	0.0100279637487296	0.786963139889965	0.00227165581438131	4.58396995500608e-29	3.27753874224142e-08
aceA	perfect	0.00316414648616869	0.479666320263336	0.193442193037762	0.407620672172207	0.933367677827451	0.810406764600233	0.964389444514643	0.988750820237255	1	0.996241135784364	0.302987037162538	0.386662080163282	0.0011665876631792	0.0270781157750496	0.822780304730881	0.000553462245509281	0.993244320047639	0.870194001772331	1.20744534056502e-05	0.0625197331227093
aceB	perfect	0.11924887168687	0.0015115882694616	0.824775352279038	0.0500624235591543	0.918205240459791	0.00259411989096181	0.515122143836033	0.0240035703502738	5.29361475487027e-09	0.323549515366682	5.74491422338778e-25	0.172505389845707	0.52150482399451	0.0331682416942496	7.14181353080867e-07	2.04682734200646e-06	0.175175182127511	0.136875332510176	2.24506830298918e-25	0.0423363525004113
aceE	perfect	1.8883237831233e-14	9.04383880462434e-18	0.842445986993911	6.39789712210441e-10	0.0095847491443182	9.0003572721623e-05	0.939371198564363	0.021774947368958	0.269816874680394	0.0938154243209027	0.79441322923019	0.000527525761365944	0.0486670391825593	1	3.20740067234874e-05	0.0219265423602518	0.0937126008068308	0.0976652707767661	0.0386094189785497	0.688959022313566
aceF	perfect	6.10173491570393e-07	1.36960708908904e-08	0.567907091113816	4.21908814588667e-09	0.247984368000045	2.44984741702428e-07	0.833944859401834	0.930277336249179	0.234748468441985	0.664549372828293	0.00520578752755705	0.215855106479429	0.000990731538339282	0.221842204249175	0.854333992918077	0.64573165271836	0.593146389674761	0.906286702174619	2.90765873097429e-05	1.11747515940863e-10
aceK	perfect	0.12838153448891	0.578141994651468	0.894788243972944	0.703096785690988	0.170271963096079	0.00320848749784865	0.0519030510438371	0.519527334627497	1	0.0210832298399326	1.17992246879564e-08	0.0183124691360738	0.905156237028543	0.120321877808612	0.367587176537697	0.00361830293580569	1.76125446002275e-06	1	1.05252260968124e-43	0.17456966608629
ackA	perfect	5.81169596195611e-05	0.000607181881183431	0.908878315233988	0.00766344190029745	0.135941678581383	2.9671994070404e-06	0.718894948442987	0.981275638761072	0.904867861993278	0.00237085998442254	3.91309450887576e-19	1	0.477157815193356	0.0585355757423216	0.890912482619289	0.0178748720908345	0.895550414877075	0.946731133638405	3.71544360943443e-19	0.00719765298812807
acnA	perfect	0.0733170664796956	0.00891910843900951	0.925222376972382	0.000373933096140211	0.726705741262734	0.204986441831851	0.983662095949111	0.995164887982904	0.944393433651134	1	9.41039258721913e-08	0.0160048887602789	0.736308932982739	1.27979911296723e-06	1	6.41659758982082e-06	0.497643006718241	0.940523093182518	6.39221272729081e-09	0.982059209018548
acnB	perfect	0.0303452283756982	0.413128844992245	0.733140367584023	0.0433881680590192	0.890138988760963	1.48447119801118e-09	0.961123504706939	1	1	0.982864485643114	6.48733659081841e-28	0.712362362994167	0.992353369984149	0.645820844813142	0.969842641891521	0.179844488031263	0.226073300768956	0.996565023736233	2.42014373363009e-42	1.07818957149725e-07
acpH	perfect	0.0336690515932674	0.382879286615794	0.0539896889781818	0.300087387591309	0.134267873992894	0.000242674978519689	0.000597847375793046	0.0143216526622129	0.00580169682712134	4.50034077660032e-06	5.39751153292856e-48	0.657615205611917	1	0.0198846766238416	0.186260268051333	0.497565242462641	0.0072323864422084	0.0865450495902238	4.28126829492347e-75	3.73982947609876e-05
acpP	mismatch	0.000580750610959141	1.20290025433498e-07	0.583613936078987	0.418024972881257	0.00433266267474923	0.00782639540561691	0.0633794046756299	1	0.97966551726538	0.263041577727957	6.57804008015734e-08	0.311657317088785	0.860368220237936	0.996590259051815	0.0743285666124761	0.00592139002605668	0.962057332428901	0.965639164339637	1.05333661591465e-15	0.430900162444054
